asdf_id,map_pf_incidence_rate.2020.mean,map_pf_incidence_rate.2019.mean,map_pf_incidence_rate.2018.mean,map_pf_incidence_rate.2017.mean,gpm_precipitation_v07b_yearly_mean.2020.mean,gpm_precipitation_v07b_yearly_mean.2019.mean,gpm_precipitation_v07b_yearly_mean.2018.mean,gpm_precipitation_v07b_yearly_mean.2017.mean,cru_ts_407_tmp_yearly_mean.2020.mean,cru_ts_407_tmp_yearly_mean.2019.mean,cru_ts_407_tmp_yearly_mean.2018.mean,cru_ts_407_tmp_yearly_mean.2017.mean,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
35,0.3558181567516007,0.33379272923149356,0.3044653047532745,0.24697263011803233,137.023288474,140.807411617,138.057158219,125.091532168,19.2042461311,19.3875775429,19.1834139095,19.6542423676,ADM2,35,35,BDI,BDI-ADM2-21766830B29281943,Gahombo,ADM2
36,0.33476119668450716,0.3138978916976155,0.2831952884474539,0.2312540088817808,136.566723386,141.823494779,140.938432367,121.99178941,19.2042461311,19.3875775429,19.1834139095,19.6542423676,ADM2,36,36,BDI,BDI-ADM2-21766830B58282824,Gatara,ADM2
37,0.3356420836496371,0.3116183624801873,0.2789276346276007,0.22089771971437058,126.637099918,130.026441169,131.389342924,110.238836793,18.8583337466,19.0500003497,18.8333338102,19.3250002861,ADM2,37,37,BDI,BDI-ADM2-21766830B85305217,Butaganzwa,ADM2
38,0.30612083393540124,0.2886517923812588,0.2644770359808073,0.22684605479399073,143.72451109,152.913543637,149.98435573,136.98450592,19.4871477079,19.6636622527,19.4697240174,19.9235102753,ADM2,38,38,BDI,BDI-ADM2-21766830B1000147,Kayanza,ADM2
39,0.4370126472578566,0.4038060076995816,0.3803719145157609,0.30258679136193434,122.000095665,127.814857276,135.281448376,121.951809102,19.1361114835,19.3319447689,19.1041671295,19.5958336319,ADM2,39,39,BDI,BDI-ADM2-21766830B20814021,Bugendana,ADM2
40,0.34409865386280414,0.32280592919933954,0.31521449563765025,0.27560779086114245,142.165142342,144.431544575,135.709453324,142.584242225,20.6780706372,20.9241232788,20.6416671485,21.1442985284,ADM2,40,40,BDI,BDI-ADM2-21766830B57798267,Musongati,ADM2
41,0.29733037878433366,0.27695469501151315,0.27503600405378137,0.23889424061839684,135.283031817,133.740298404,132.275361089,135.992375433,19.2640354955,19.499561848,19.2416671482,19.7513159649,ADM2,41,41,BDI,BDI-ADM2-21766830B76901715,Rutana,ADM2
42,0.2818330522725799,0.2589021077898452,0.2565465152260768,0.218143592315408,131.317262598,128.335759798,129.494597772,128.51293589,19.5045879199,19.7309765333,19.4874610063,20.022177604,ADM2,42,42,BDI,BDI-ADM2-21766830B86178873,Gitanga,ADM2
43,0.2753195344703386,0.24796605368388117,0.2415091495951745,0.20145896010045544,137.207975665,133.902602933,130.412674087,134.161004945,21.0583337148,21.2833339373,21.0333336194,21.5916671753,ADM2,43,43,BDI,BDI-ADM2-21766830B18412909,Makamba,ADM2
44,0.2599337811888156,0.2376767564571113,0.23188554952735604,0.19648006932948725,131.572308248,130.575889277,130.506681445,132.920668341,18.1288304887,18.353830566,18.119048795,18.6393362739,ADM2,44,44,BDI,BDI-ADM2-21766830B8326959,Rutovu,ADM2
45,0.29653181552194974,0.2727855468949233,0.26130431724031256,0.2246743467600038,129.216472888,128.687859115,127.859754155,129.190966019,17.8500003815,18.075000445,17.8416671753,18.3583334287,ADM2,45,45,BDI,BDI-ADM2-21766830B38748530,Buraza,ADM2
46,0.34045019818389055,0.3062541672718673,0.2722427038547858,0.2288106921175542,118.984160763,128.732306765,128.614275599,121.889713386,17.8500003815,18.075000445,17.8416671753,18.3583334287,ADM2,46,46,BDI,BDI-ADM2-21766830B95633487,Nyanrusang,ADM2
47,0.3458429035875351,0.3137306235741413,0.2843511572429316,0.24085444000608322,124.164236418,129.184984204,126.630218807,125.602729528,17.8500003815,18.075000445,17.8416671753,18.3583334287,ADM2,47,47,BDI,BDI-ADM2-21766830B64780436,Gishubi,ADM2
48,0.35922985521176815,0.32512086316925737,0.29045401203068505,0.23673196732865953,117.322345014,130.157889892,132.605314976,115.473606761,18.6257369622,18.8250927443,18.6045816153,19.1020149021,ADM2,48,48,BDI,BDI-ADM2-21766830B71764603,Nyabihanga,ADM2
49,0.3983097364421563,0.36386307097415516,0.33689086130107737,0.27326327458712174,116.579246826,127.29266081,133.365846689,117.817050824,18.8583337466,19.0500003497,18.8333338102,19.3250002861,ADM2,49,49,BDI,BDI-ADM2-21766830B79331018,Giheta,ADM2
50,0.377841800797585,0.3506712364603489,0.3343006492785626,0.2897100088640529,142.096181873,155.096177126,133.179168335,137.495458245,20.5352939049,20.7769590164,20.4965667085,20.9985266574,ADM2,50,50,BDI,BDI-ADM2-21766830B90944361,Itaba,ADM2
51,0.3220266632859263,0.29607471871720276,0.27968394525621054,0.24074324348746692,131.824342629,130.725574043,127.417531534,129.571376006,18.5962966835,18.8268522884,18.5805560418,19.0935186481,ADM2,51,51,BDI,BDI-ADM2-21766830B71858074,Bukirasazi,ADM2
52,0.39471628352592003,0.36001981198133043,0.33313175818975393,0.2787261931881959,125.614052661,134.187884655,136.849103536,123.704746502,19.3491972536,19.557089356,19.3127916482,19.8088422578,ADM2,52,52,BDI,BDI-ADM2-21766830B57526872,Gitega,ADM2
53,0.3680074778368998,0.33621384681969424,0.3096813196790699,0.26280914501579183,129.133512885,135.133677641,129.244310198,128.819703869,18.9048205422,19.1298177119,18.8827949011,19.3905308582,ADM2,53,53,BDI,BDI-ADM2-21766830B45438526,Makebuko,ADM2
54,0.4290115585351025,0.4039943286876833,0.39732290303564916,0.3419713116907711,138.894820721,148.423668952,140.937352468,140.96400266,21.0218977616,21.2628033319,20.9734103268,21.471136593,ADM2,54,54,BDI,BDI-ADM2-21766830B27977615,Butaganzwa,ADM2
